Seller Platform,Seller SKU,Manufacturer Name,Manufacturer Code,Product Title,Description,Packaging,QTY,Catagory,Subcategory,Product Page URL,Attachment URL,Images URL
gloscience,6581042,gloscience,6581042,GLO Brilliant® Advanced White Smile - At Home Teeth Whitening Device Kit,"
An all-in-one, dentist-invented teeth whitening device kit featuring an advanced warming mouthpiece plus specially formulated, high performance whitening gel to quickly and safely whiten teeth at home - without sensitivity!  
8X faster continuous warming makes the GLO Brilliant Advanced White Smile Teeth Whitening Device the most effective teeth whitening technology available outside of a dental practice. 
Clinically proven to remove stains and whiten teeth up to 12 shades.  
Often imitated. Never replicated. Only from GLO Science.  
", ,1, , ,https://gloscience.com/products/brilliant-white-smile-teeth-whitening-device-set?variant=39718426902606, ,https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_BrilliantWhiteSmile_NoPackaging_1500x1500_White_Callout_1800x1800.jpg?v=1663239475https://cdn.shopify.com/s/files/1/0529/2001/products/Image11_eed2c155-c8c3-42cb-9002-44e885552711_1800x1800.jpg?v=1663239475https://cdn.shopify.com/s/files/1/0529/2001/products/1_1800x1800.jpg?v=1663239475https://cdn.shopify.com/s/files/1/0529/2001/products/BrilliantWhiteSmile_HERO_White_1000x1000_d4cfb4c8-1885-4389-bca2-f2ef7f39f2c0_1800x1800.jpg?v=1663239475https://cdn.shopify.com/s/files/1/0529/2001/products/3_a196c8bc-c650-4514-b5cd-c5b5155a5cd9_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/4_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/BrilliantWhiteSmile_HERO_Blue_2000x2000_7c16bdbb-01ef-4490-8941-e2956b8aa431_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/5_b7b04eb9-546d-40f4-9fa1-f1abeb1e5760_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/6_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/7_f2039d7a-4434-4610-bfdc-9e61ada9175d_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/8_06290a21-95f6-403b-86f7-ffbceac36277_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/9_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/10_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/11_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/12_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/All-Conponents_1000x1000_87ad9f1e-2afd-4ff4-a776-a49bc57316a4_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/6581042_Device_2000x2000_4d4a1430-ad11-47b3-84f3-d947e6234a07_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/6581042BB_All_2000x2000_399663ea-ccff-4256-9728-b3d12fcf7016_1800x1800.jpg?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/6581042BB_Device_2000x2000_4db7c38c-b487-4514-9959-8022b802723d_1800x1800.png?v=1663239452https://cdn.shopify.com/s/files/1/0529/2001/products/GlowingSmileDarkLight-GIF_SQUARE_1800x1800.gif?v=1663239452
gloscience,1581042,gloscience,1581042,Classic GLO Brilliant Teeth Whitening Device," 
The Classic GLO Brilliant Teeth Whitening Device combines light and heat to activate specially formulated hydrogen peroxide gel to visibly whiten and brighten your smile without sensitivity.
 ", ,1, , ,https://gloscience.com/products/glo-brilliant-personal-teeth-whitening-device?variant=3682770051, ,https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_AtHome_Original_NoPackaging_1500x1500_Callout_1800x1800.jpg?v=1663239318https://cdn.shopify.com/s/files/1/0529/2001/products/Brilliant_Img2_1800x1800.jpg?v=1663239318https://cdn.shopify.com/s/files/1/0529/2001/products/Brilliantwebsiteheronewvials2000x2000_1800x1800.png?v=1663239318https://cdn.shopify.com/s/files/1/0529/2001/products/Amanda_BA_2000x2000._1800x1800.jpg?v=1663239317https://cdn.shopify.com/s/files/1/0529/2001/products/homepage_1800x1800.jpg?v=1663239317https://cdn.shopify.com/s/files/1/0529/2001/products/8._c3412c79-432a-4fe9-a3da-61b08ade2a40_1800x1800.jpg?v=1663239317https://cdn.shopify.com/s/files/1/0529/2001/products/Brilliant_Website_Hero_New_Vials_Black_Device_BlackCase_1100x1100_d3c83016-fa1c-469c-acb1-9e63e41ec89e_1800x1800.jpg?v=1663239317https://cdn.shopify.com/s/files/1/0529/2001/products/59da0af546754c8fbf589fb53b301320.thumbnail.0000000_1800x1800.jpg?v=1648150951
gloscience,3581042,gloscience,3581042,GLO Lit Teeth Whitening Device Tech Kit with Bluetooth,"
Forget about gimmicky lights, uncomfortable trays, runny gels, and messy strips—those are yesterday’s way to whiten! GLO Lit connects wirelessly via Bluetooth to the GLO Whitening App which you can download for free on the App Store and Google Play.
 ", ,1, , ,https://gloscience.com/products/glo-lit-teeth-whitening-tech-kit?variant=31928280318030, ,https://cdn.shopify.com/s/files/1/0529/2001/products/LitonWhite_2000x2000_1bf1dc36-e35e-4c51-9381-bdd6d1c9863e_1800x1800.jpg?v=1663966012https://cdn.shopify.com/s/files/1/0529/2001/products/Lit_Im2_22cf0d61-7df9-41df-9471-6103f79fa856_1800x1800.jpg?v=1663966012https://cdn.shopify.com/s/files/1/0529/2001/products/VanessaT-2000x2000_1800x1800.jpg?v=1663966012https://cdn.shopify.com/s/files/1/0529/2001/products/Tiffany_B_A_StackedLabelled_2000x2000_6d4d0571-b83c-404d-8b5f-a2159733f1a1_1800x1800.jpg?v=1663966012https://cdn.shopify.com/s/files/1/0529/2001/products/8._6bded245-d2cb-4f71-a57b-580c7de6cc95_1800x1800.jpg?v=1663966012https://cdn.shopify.com/s/files/1/0529/2001/products/04.02.21GLOLIT-00032048x2048_9babcf47-8255-48d1-a64a-ba28291ad976_1800x1800.jpg?v=1663966012https://cdn.shopify.com/s/files/1/0529/2001/products/MicrosoftTeams-image_2_1800x1800.jpg?v=1663966012https://cdn.shopify.com/s/files/1/0529/2001/products/MicrosoftTeams-image_3_1800x1800.jpg?v=1663966012https://cdn.shopify.com/s/files/1/0529/2001/products/821cc98ecea0439987adbca0cf036032.thumbnail.0000000_1800x1800.jpg?v=1648150953
gloscience,A308167,gloscience,A308167,Mint Teeth Whitening GLO Vials,"
High performance, sensitivity free, stay-fresh whitening gel treatments that can used alone or can be paired with your GLO Teeth Whitening Device for even faster results.
Clinically proven to remove stains and whiten teeth, minty fresh GLO Vial whitening gel takes seconds to apply and starts working instantly – with no strips, no trays, and no mess.
Compatible with all GLO devices.", ,1, , ,https://gloscience.com/products/mint-glo-vials?variant=39671128195150, ,https://cdn.shopify.com/s/files/1/0529/2001/products/regular3vials_1800x1800.png?v=1663086497https://cdn.shopify.com/s/files/1/0529/2001/products/SkuA308167_1_1800x1800.jpg?v=1663086497https://cdn.shopify.com/s/files/1/0529/2001/products/Vials_Img2_1800x1800.jpg?v=1663086497https://cdn.shopify.com/s/files/1/0529/2001/products/3.._1800x1800.jpg?v=1663086497https://cdn.shopify.com/s/files/1/0529/2001/products/websitevial_b9599a42-2266-4d6e-a986-e9bcb2191125_1800x1800.jpg?v=1663086497https://cdn.shopify.com/s/files/1/0529/2001/products/4th_c264523e-a72d-4f70-b925-df8d95a80c5e_1800x1800.jpg?v=1663086497https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_Vial_7pk_Vials_1100x1100_eab93620-292c-41bb-9825-ad98b66a33b5_1800x1800.jpg?v=1663086497https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_Vial_5pk_Components__Only_2000x2000_52fa6b1a-7bd8-408d-9446-1b3e67e6451a_1800x1800.png?v=1663086497
gloscience,558105203CM,gloscience,558105203CM,Cinnamint Teeth Whitening GLO Vials,"
High performance, sensitivity free, stay-fresh whitening gel treatments that can used alone or can be paired with your GLO Teeth Whitening Device for even faster results.
Clinically proven to remove stains and whiten teeth, minty fresh GLO Vial whitening gel takes seconds to apply and starts working instantly – with no strips, no trays, and no mess.
Compatible with all GLO devices.
Vials can be used alone or paired with device.", ,1, , ,https://gloscience.com/products/cinnamint-teeth-whitening-glo-vials-2?variant=40069181997134, ,https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_Cinnamint_Vial_3pk_1100x1100_6ace9a06-8b2f-4e37-9c55-cbcefdb480a3_1800x1800.jpg?v=1666124740https://cdn.shopify.com/s/files/1/0529/2001/products/HERO_558105203CM_2000x2000_47e88275-d048-447e-ba52-788cdd01a312_1800x1800.jpg?v=1666124741https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_BeforeAfter_Man_Full_3_00a622a1-c6c2-4b8c-8848-a3ff17b2f7d8_1800x1800.jpg?v=1666124868https://cdn.shopify.com/s/files/1/0529/2001/products/Cinnamint_Img2_d32fab02-891d-4c05-acfa-afdee208ff55_1800x1800.jpg?v=1666124884https://cdn.shopify.com/s/files/1/0529/2001/products/GLOVials_Cinnamint5pk_HERO_1000x1000_1567bfe3-39ec-46c1-a82d-115f51faa563_1800x1800.jpg?v=1666124909https://cdn.shopify.com/s/files/1/0529/2001/products/5_429fb667-5858-4b6d-baec-978379b675b8_1800x1800.jpg?v=1666124921https://cdn.shopify.com/s/files/1/0529/2001/products/Image3_871079d4-8772-4edd-bbfb-233dd1c73f0d_1800x1800.jpg?v=1666124922
gloscience,28103305,gloscience,28103305,GLO To Go Teeth Whitening Pen,"An anytime and anywhere teeth whitening and brightening system developed by a dentist for proven whitening results, not just touch-ups.
This safe, effective, sensitivity free, lightweight gel is enhanced with plant-based antimicrobials and antioxidants plus a hygienic silicone applicator tip to promote oral health and hygiene while giving you a brighter, whiter smile.", ,1, , ,https://gloscience.com/products/glo-to-go-teeth-whitening-pen?variant=40028259876942, ,https://cdn.shopify.com/s/files/1/0529/2001/products/GloWhitePen_UprightCapOff_3_1100x1100_17e7c2ea-40ea-4e3e-9c25-92acb31c5086_1800x1800.jpg?v=1647625143https://cdn.shopify.com/s/files/1/0529/2001/products/Pen_img2_1800x1800.jpg?v=1647874423https://cdn.shopify.com/s/files/1/0529/2001/products/8._1800x1800.jpg?v=1647874423https://cdn.shopify.com/s/files/1/0529/2001/products/5._1800x1800.jpg?v=1647874423https://cdn.shopify.com/s/files/1/0529/2001/products/6._1800x1800.jpg?v=1647874423https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_ToGoPackaging_Upright-Angled_2-pen_1100x1100_3d21b376-543c-4dd2-93f5-ba2e2b64302a_1800x1800.jpg?v=1647874396https://cdn.shopify.com/s/files/1/0529/2001/products/glo-to-go-oen-3pk_b9e9ef85-adf2-4413-98c0-9a003d00fd6e_1800x1800.jpg?v=1663947072https://cdn.shopify.com/s/files/1/0529/2001/products/0d435537a47941c194c6a63599d1e5d9.thumbnail.0000000_1800x1800.jpg?v=1648150891
gloscience,15810332034S,gloscience,15810332034S,ECO Balance Deep Clean & Gum Restoration Booster,"Boost your brushing to achieve a whole-mouth clean feeling &amp; enhance gum condition.
The award-winning ECO Booster is the easiest way to enhance your oral hygiene routine and give you that 'just left the dentist' clean feeling from home. This antibiotic-free and alcohol-free formula neutralizes pH balance in the mouth, leaving you with a long-lasting fresh feeling. 
", ,1, , ,https://gloscience.com/products/eco-balance-gum-health-treatment?variant=40028255912014, ,https://cdn.shopify.com/s/files/1/0529/2001/products/ECOBalance3_4ozBottle_2_002_1100x1100_9c1a5050-ba08-4414-8d4c-33e9039cd687_1800x1800.png?v=1647625083https://cdn.shopify.com/s/files/1/0529/2001/products/ECO_img2_1800x1800.jpg?v=1647874235https://cdn.shopify.com/s/files/1/0529/2001/products/ECO2_1800x1800.jpg?v=1647874235https://cdn.shopify.com/s/files/1/0529/2001/products/EcoBalance_OneHand280x280_1800x1800.jpg?v=1647874235https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_ECO_Boost_Your_Brushing_Power_Graphic-KM-12-09-2021-03_1800x1800.jpg?v=1647874235https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_ECO_HygieneHelper_Graphic_3.4ozCAN._1100_1800x1800.jpg?v=1647874235https://cdn.shopify.com/s/files/1/0529/2001/products/Eco_Balance_GoodForThePlanet_1500x1500_F_1800x1800.jpg?v=1647874209https://cdn.shopify.com/s/files/1/0529/2001/products/ecobalance-2pk_125c03e3-5739-4f25-b57a-01d407ccaaf5_1800x1800.jpg?v=1663946726https://cdn.shopify.com/s/files/1/0529/2001/products/de20131ac1b14b81a076d21c108c002b.thumbnail.0000000_1800x1800.jpg?v=1644255604
gloscience,158103319,gloscience,158103319,GLO Science Lip Care,"An ultra-hydrating formula rich in vitamins and antioxidants that moisturizes, nourishes, repairs, and protects dry lips.", ,1, , ,https://gloscience.com/products/glo-science-lip-care?variant=40028258435150, ,https://cdn.shopify.com/s/files/1/0529/2001/products/GLO_Lip_Care_c50a384d-da8a-4508-9574-c361de2c924f_1800x1800.jpg?v=1638991343https://cdn.shopify.com/s/files/1/0529/2001/products/Lipcare_img2_1800x1800.jpg?v=1647874389https://cdn.shopify.com/s/files/1/0529/2001/products/glo-june-27_1800x1800.jpg?v=1647874389https://cdn.shopify.com/s/files/1/0529/2001/products/glo-sept-12_1100x1100_1800x1800.jpg?v=1647874389https://cdn.shopify.com/s/files/1/0529/2001/products/3pk-lip-care_cbce36de-b538-4d33-b5da-b76e5409cbd4_1800x1800.jpg?v=1663946937
gloscience,1581012074,gloscience,1581012074,GLO Toothbrush,"Keep your teeth clean and healthy before whitening and any time with this blue soft-bristled GLO toothbrush.
For best teeth whitening results, brush your teeth immediately before whitening. 
Includes 1 individually wrapped soft-bristled toothbrush.", ,1, , ,https://gloscience.com/products/glo-toothbrush?variant=40028263219278, ,https://cdn.shopify.com/s/files/1/0529/2001/products/ECOontoothbrush1100x1100_1800x1800.jpg?v=1619194639https://cdn.shopify.com/s/files/1/0529/2001/products/iStock-459396403_R_WhiteShirt1100x1100bluebrush_1800x1800.jpg?v=1619194624https://cdn.shopify.com/s/files/1/0529/2001/products/toothbrush-4pk-2_a0bb49f4-e74e-4cf9-a669-56f73a09bbd0_1800x1800.jpg?v=1663947324
gloscience,1581033041,gloscience,1581033041,Classic GLO Brilliant Replacement Control,"
[SECTION]
Replacement GLO Control for use with the GLO Brilliant Teeth Whitening Device 
[SECTION] 

[SECTION]

1 replacement GLO Control (does not include GLO Universal Power Cord &amp; Adapter or Whitening Mouthpiece which must be purchased separately or as part of the GLO Brilliant Teeth Whitening Device) 

[SECTION]
[SECTION]
Replacement GLO Control for use with the GLO Brilliant Classic Teeth Whitening Device only. Not compatible with the GLO Brilliant Advanced Teeth Whitening Device.
[SECTION]

", ,1, , ,https://gloscience.com/products/glo-control-replacement?variant=905538867, ,https://cdn.shopify.com/s/files/1/0529/2001/products/ECOontoothbrush1100x1100_1800x1800.jpg?v=1619194639https://cdn.shopify.com/s/files/1/0529/2001/products/iStock-459396403_R_WhiteShirt1100x1100bluebrush_1800x1800.jpg?v=1619194624https://cdn.shopify.com/s/files/1/0529/2001/products/toothbrush-4pk-2_a0bb49f4-e74e-4cf9-a669-56f73a09bbd0_1800x1800.jpg?v=1663947324
gloscience,158103000,gloscience,158103000,GLO Brilliant Control Charging Dock,"[SECTION]
*Please note that the dock does not include the USB power cord and adapter, which must be purchased separately.
Convenient charging dock for use with the GLO Brilliant Teeth Whitening Device. Use the custom GLO dock to store and charge your GLO Control so you are always ready to GLO!
Make your smile a priority and keep GLO top of mind by keeping the dock on your bathroom counter or vanity. Your GLO Control will always be charged and ready for use.
[SECTION]
Attach your charging cord to the dock and plug in. Insert your GLO Brilliant Control into the charging dock.
 
[SECTION]
[SECTION]
1 charging dock (charging cord/adapter and GLO Control not included)
[SECTION]
A convenient and stylish charging dock for your GLO Brilliant Control.
[SECTION]
--
", ,1, , ,https://gloscience.com/products/glo-brilliant-control-charging-dock?variant=34644961934, ,https://cdn.shopify.com/s/files/1/0529/2001/products/GLO_Dock_2000x2000_596b3ff0-09ec-4dfd-8537-ffebfbe210b8_1800x1800.jpg?v=1640193625https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_Control_Dock_WHITE_1100x1100_2aca77fd-ec80-45d5-a2f7-776f3f6f7223_1800x1800.jpg?v=1640193629https://cdn.shopify.com/s/files/1/0529/2001/products/glo-jan-40_1100x1100_1800x1800.jpg?v=1640193614
gloscience,158106201,gloscience,158106201,Extra GLO Whitening Mouthpiece & Case (not compatible with GLO Brilliant Advanced White Smile Device),"Now you can share your GLO with an extra whitening mouthpiece! This mouthpiece works with the Original GLO Brilliant Device and the GLO Lit Device only. 
Compatible with Classic GLO Brilliant and GLO Lit Teeth Whitening Devices
Not compatible with the GLO Brilliant Advanced White Smile Device
", ,1, , ,https://gloscience.com/products/glo-brilliant-whitening-mouthpiece-case?variant=712803395, ,https://cdn.shopify.com/s/files/1/0529/2001/products/Mouthpiece_Case2000x2000_1_1800x1800.jpg?v=1632505369https://cdn.shopify.com/s/files/1/0529/2001/products/mouthpiecewebsite3_1800x1800.jpg?v=1635031226https://cdn.shopify.com/s/files/1/0529/2001/products/mouthpiece2_1800x1800.jpg?v=1635031105https://cdn.shopify.com/s/files/1/0529/2001/products/517A3728-D154-4532-9D70-0F37A2746FAD-222419_1800x1800.jpg?v=1633456234https://cdn.shopify.com/s/files/1/0529/2001/products/mouthpiecewebsite_1800x1800.jpg?v=1635030994
gloscience,658106201,gloscience,658106201,GLO Brilliant Advanced White Smile At Home Teeth Whitening Mouthpiece  with Illuminating Heat Technology,"
Smiles are best when they are shared - so we made GLO shareable too! Get an additional mouthpiece for each member of your household to use with your GLO Brilliant Advanced White Smile Teeth Whitening Device Set.
To get your whitest smile in the least amount of time, you need warming heat acceleration – and you can only get it from GLO Science!
Now with 8X faster, continuous warming to the perfect safe &amp; comfortable temperature for the fastest results and no sensitivity, the GLO Brilliant Advanced White Smile Whitening Warming Mouthpiece works with your GLO Brilliant Advanced Teeth Whitening Control to make your smile GLO!
One size fits all and lets you whiten your top and bottom teeth at the same time in short, pre-timed 8-minute sessions.
Get ready to GLO! *Must be plugged into the GLO Brilliant Advanced White Smile Control available in the complete GLO Brilliant Advanced White Smile Teeth Whitening Device Set. Cannot be used with the Classic GLO Brilliant Control or the GLO Lit Powerpack (additional mouthpiece for those devices can be found here).", ,1, , ,https://gloscience.com/products/glo-brilliant-advanced-white-smile-at-home-teeth-whitening-mouthpiece-with-illuminating-heat-technology?variant=40098926166094, ,https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_BrilliantWhiteSmile_MP_RolledCord_1000x1000_6e3e56d7-a70e-4bfa-a686-f04f62cd1950_1800x1800.jpg?v=1668109588https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_Brilliant_ExtraMP_Graphic_1000x1000_1_1800x1800.jpg?v=1668109588https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_BrilliantWhite_MPDevice_Callout_Graphic_1800x1800.jpg?v=1668109588https://cdn.shopify.com/s/files/1/0529/2001/products/F_20210819_GLOSCIENCE4689_V2_Brilliant_White_1000x1000_abfdd1bb-a82a-4320-b2fb-5586d813d872_1800x1800.jpg?v=1668109588https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_BrilliantWhiteSmile_Carton_ExtraMP_1000x1000_e93445df-2f74-4b5f-848c-d5c77e95a74e_1800x1800.png?v=1668109588
gloscience,1581033001,gloscience,1581033001,Extra GLO Brilliant Universal Power Cord & Adapter,"
 WHAT YOU GET
A replacement GLO Universal Power Cord &amp; Adapter for use with the GLO Brilliant Teeth Whitening Device. Features wall charger + USB charger, for use in any country. 
WHAT'S INCLUDED:

1 GLO Universal Power Cord &amp; USB Adapter

 
", ,1, , ,https://gloscience.com/products/glo-power-set-replacement?variant=905543811, ,https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_BrilliantWhiteSmile_MP_RolledCord_1000x1000_6e3e56d7-a70e-4bfa-a686-f04f62cd1950_1800x1800.jpg?v=1668109588https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_Brilliant_ExtraMP_Graphic_1000x1000_1_1800x1800.jpg?v=1668109588https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_BrilliantWhite_MPDevice_Callout_Graphic_1800x1800.jpg?v=1668109588https://cdn.shopify.com/s/files/1/0529/2001/products/F_20210819_GLOSCIENCE4689_V2_Brilliant_White_1000x1000_abfdd1bb-a82a-4320-b2fb-5586d813d872_1800x1800.jpg?v=1668109588https://cdn.shopify.com/s/files/1/0529/2001/products/Glo_BrilliantWhiteSmile_Carton_ExtraMP_1000x1000_e93445df-2f74-4b5f-848c-d5c77e95a74e_1800x1800.png?v=1668109588
gloscience,258121VGLP,gloscience,258121VGLP,GLO Vegan Leather Travel Bag,"Our custom travel bag is made of vegan leather and is the perfect way to take your device with you on the go! Store a your GLO Brilliant, Vials, a GLO to GO Pen, and any other necessities easily in this small cosmetic pouch.", ,1, , ,https://gloscience.com/products/vegan-leather-glo-bag?variant=39666396627022, ,https://cdn.shopify.com/s/files/1/0529/2001/products/PDP_Shot1_1800x1800.jpg?v=1644348173https://cdn.shopify.com/s/files/1/0529/2001/products/PDP_Shot4_1800x1800.jpg?v=1644348172https://cdn.shopify.com/s/files/1/0529/2001/products/PDP_Shot3_1800x1800.jpg?v=1644348272
gloscience,8838228,gloscience,8838228,Classic GLO Baseball Cap,"WHAT YOU GET
Relax in our classic, adjustable canvas baseball cap with embroidered GLO logo. For him or her.
WHAT'S INCLUDED:

1 Classic GLO Baseball Cap (choose your color - blue or black)
", ,1, , ,https://gloscience.com/products/glo-cap?variant=21224424505422, ,https://cdn.shopify.com/s/files/1/0529/2001/products/PDP_Shot1_1800x1800.jpg?v=1644348173https://cdn.shopify.com/s/files/1/0529/2001/products/PDP_Shot4_1800x1800.jpg?v=1644348172https://cdn.shopify.com/s/files/1/0529/2001/products/PDP_Shot3_1800x1800.jpg?v=1644348272
gloscience,25810190,gloscience,25810190,GLO Double Mirror Compact Case,"A small mirror compact to take with you on the go, so you can easily apply your GLO to Go Teeth Whitening Gel anytime, anywhere! 
", ,1, , ,https://gloscience.com/products/glo-double-mirror-compact-case?variant=39300788453454, ,https://cdn.shopify.com/s/files/1/0529/2001/products/GlotoGo_CompactMirrorClosed_1_upright_angle_2000x2000_V2_1800x1800.jpg?v=1640192437https://cdn.shopify.com/s/files/1/0529/2001/products/GlotoGo_CompactMirrorPartiallyOpen_2000x2000_V2_1800x1800.jpg?v=1640192425https://cdn.shopify.com/s/files/1/0529/2001/products/GlotoGo_CompactMirrorOpen_2000x2000_v2_1800x1800.jpg?v=1640192431
