Seller Platform,Seller SKU,Manufacturer Name,Manufacturer Code,Product Title,Description,Packaging,QTY,Catagory,Subcategory,Product Page URL,Attachment URL,IImages URL
gloscience,6581042,gloscience,6581042,GLO Brilliant® Advanced White Smile - At Home Teeth Whitening Device Kit,"
An all-in-one, dentist-invented teeth whitening device kit featuring an advanced warming mouthpiece plus specially formulated, high performance whitening gel to quickly and safely whiten teeth at home - without sensitivity!  
8X faster continuous warming makes the GLO Brilliant Advanced White Smile Teeth Whitening Device the most effective teeth whitening technology available outside of a dental practice. 
Clinically proven to remove stains and whiten teeth up to 12 shades.  
Often imitated. Never replicated. Only from GLO Science.  
", ,1, , ,https://gloscience.com/products/brilliant-white-smile-teeth-whitening-device-set?variant=39718426902606, ,
gloscience,1581042,gloscience,1581042,Classic GLO Brilliant Teeth Whitening Device," 
The Classic GLO Brilliant Teeth Whitening Device combines light and heat to activate specially formulated hydrogen peroxide gel to visibly whiten and brighten your smile without sensitivity.
 ", ,1, , ,https://gloscience.com/products/glo-brilliant-personal-teeth-whitening-device?variant=3682770051, ,
gloscience,3581042,gloscience,3581042,GLO Lit Teeth Whitening Device Tech Kit with Bluetooth,"
Forget about gimmicky lights, uncomfortable trays, runny gels, and messy strips—those are yesterday’s way to whiten! GLO Lit connects wirelessly via Bluetooth to the GLO Whitening App which you can download for free on the App Store and Google Play.
 ", ,1, , ,https://gloscience.com/products/glo-lit-teeth-whitening-tech-kit?variant=31928280318030, ,
gloscience,A308167,gloscience,A308167,Mint Teeth Whitening GLO Vials,"
High performance, sensitivity free, stay-fresh whitening gel treatments that can used alone or can be paired with your GLO Teeth Whitening Device for even faster results.
Clinically proven to remove stains and whiten teeth, minty fresh GLO Vial whitening gel takes seconds to apply and starts working instantly – with no strips, no trays, and no mess.
Compatible with all GLO devices.", ,1, , ,https://gloscience.com/products/mint-glo-vials?variant=39671128195150, ,
gloscience,558105203CM,gloscience,558105203CM,Cinnamint Teeth Whitening GLO Vials,"
High performance, sensitivity free, stay-fresh whitening gel treatments that can used alone or can be paired with your GLO Teeth Whitening Device for even faster results.
Clinically proven to remove stains and whiten teeth, minty fresh GLO Vial whitening gel takes seconds to apply and starts working instantly – with no strips, no trays, and no mess.
Compatible with all GLO devices.
Vials can be used alone or paired with device.", ,1, , ,https://gloscience.com/products/cinnamint-teeth-whitening-glo-vials-2?variant=40069181997134, ,
gloscience,28103305,gloscience,28103305,GLO To Go Teeth Whitening Pen,"An anytime and anywhere teeth whitening and brightening system developed by a dentist for proven whitening results, not just touch-ups.
This safe, effective, sensitivity free, lightweight gel is enhanced with plant-based antimicrobials and antioxidants plus a hygienic silicone applicator tip to promote oral health and hygiene while giving you a brighter, whiter smile.", ,1, , ,https://gloscience.com/products/glo-to-go-teeth-whitening-pen?variant=40028259876942, ,
gloscience,15810332034S,gloscience,15810332034S,ECO Balance Deep Clean & Gum Restoration Booster,"Boost your brushing to achieve a whole-mouth clean feeling &amp; enhance gum condition.
The award-winning ECO Booster is the easiest way to enhance your oral hygiene routine and give you that 'just left the dentist' clean feeling from home. This antibiotic-free and alcohol-free formula neutralizes pH balance in the mouth, leaving you with a long-lasting fresh feeling. 
", ,1, , ,https://gloscience.com/products/eco-balance-gum-health-treatment?variant=40028255912014, ,
gloscience,158103319,gloscience,158103319,GLO Science Lip Care,"An ultra-hydrating formula rich in vitamins and antioxidants that moisturizes, nourishes, repairs, and protects dry lips.", ,1, , ,https://gloscience.com/products/glo-science-lip-care?variant=40028258435150, ,
gloscience,1581012074,gloscience,1581012074,GLO Toothbrush,"Keep your teeth clean and healthy before whitening and any time with this blue soft-bristled GLO toothbrush.
For best teeth whitening results, brush your teeth immediately before whitening. 
Includes 1 individually wrapped soft-bristled toothbrush.", ,1, , ,https://gloscience.com/products/glo-toothbrush?variant=40028263219278, ,
gloscience,1581033041,gloscience,1581033041,Classic GLO Brilliant Replacement Control,"
[SECTION]
Replacement GLO Control for use with the GLO Brilliant Teeth Whitening Device 
[SECTION] 

[SECTION]

1 replacement GLO Control (does not include GLO Universal Power Cord &amp; Adapter or Whitening Mouthpiece which must be purchased separately or as part of the GLO Brilliant Teeth Whitening Device) 

[SECTION]
[SECTION]
Replacement GLO Control for use with the GLO Brilliant Classic Teeth Whitening Device only. Not compatible with the GLO Brilliant Advanced Teeth Whitening Device.
[SECTION]

", ,1, , ,https://gloscience.com/products/glo-control-replacement?variant=905538867, ,
gloscience,158103000,gloscience,158103000,GLO Brilliant Control Charging Dock,"[SECTION]
*Please note that the dock does not include the USB power cord and adapter, which must be purchased separately.
Convenient charging dock for use with the GLO Brilliant Teeth Whitening Device. Use the custom GLO dock to store and charge your GLO Control so you are always ready to GLO!
Make your smile a priority and keep GLO top of mind by keeping the dock on your bathroom counter or vanity. Your GLO Control will always be charged and ready for use.
[SECTION]
Attach your charging cord to the dock and plug in. Insert your GLO Brilliant Control into the charging dock.
 
[SECTION]
[SECTION]
1 charging dock (charging cord/adapter and GLO Control not included)
[SECTION]
A convenient and stylish charging dock for your GLO Brilliant Control.
[SECTION]
--
", ,1, , ,https://gloscience.com/products/glo-brilliant-control-charging-dock?variant=34644961934, ,
gloscience,158106201,gloscience,158106201,Extra GLO Whitening Mouthpiece & Case (not compatible with GLO Brilliant Advanced White Smile Device),"Now you can share your GLO with an extra whitening mouthpiece! This mouthpiece works with the Original GLO Brilliant Device and the GLO Lit Device only. 
Compatible with Classic GLO Brilliant and GLO Lit Teeth Whitening Devices
Not compatible with the GLO Brilliant Advanced White Smile Device
", ,1, , ,https://gloscience.com/products/glo-brilliant-whitening-mouthpiece-case?variant=712803395, ,
gloscience,658106201,gloscience,658106201,GLO Brilliant Advanced White Smile At Home Teeth Whitening Mouthpiece  with Illuminating Heat Technology,"
Smiles are best when they are shared - so we made GLO shareable too! Get an additional mouthpiece for each member of your household to use with your GLO Brilliant Advanced White Smile Teeth Whitening Device Set.
To get your whitest smile in the least amount of time, you need warming heat acceleration – and you can only get it from GLO Science!
Now with 8X faster, continuous warming to the perfect safe &amp; comfortable temperature for the fastest results and no sensitivity, the GLO Brilliant Advanced White Smile Whitening Warming Mouthpiece works with your GLO Brilliant Advanced Teeth Whitening Control to make your smile GLO!
One size fits all and lets you whiten your top and bottom teeth at the same time in short, pre-timed 8-minute sessions.
Get ready to GLO! *Must be plugged into the GLO Brilliant Advanced White Smile Control available in the complete GLO Brilliant Advanced White Smile Teeth Whitening Device Set. Cannot be used with the Classic GLO Brilliant Control or the GLO Lit Powerpack (additional mouthpiece for those devices can be found here).", ,1, , ,https://gloscience.com/products/glo-brilliant-advanced-white-smile-at-home-teeth-whitening-mouthpiece-with-illuminating-heat-technology?variant=40098926166094, ,
gloscience,1581033001,gloscience,1581033001,Extra GLO Brilliant Universal Power Cord & Adapter,"
 WHAT YOU GET
A replacement GLO Universal Power Cord &amp; Adapter for use with the GLO Brilliant Teeth Whitening Device. Features wall charger + USB charger, for use in any country. 
WHAT'S INCLUDED:

1 GLO Universal Power Cord &amp; USB Adapter

 
", ,1, , ,https://gloscience.com/products/glo-power-set-replacement?variant=905543811, ,
gloscience,258121VGLP,gloscience,258121VGLP,GLO Vegan Leather Travel Bag,"Our custom travel bag is made of vegan leather and is the perfect way to take your device with you on the go! Store a your GLO Brilliant, Vials, a GLO to GO Pen, and any other necessities easily in this small cosmetic pouch.", ,1, , ,https://gloscience.com/products/vegan-leather-glo-bag?variant=39666396627022, ,
gloscience,8838228,gloscience,8838228,Classic GLO Baseball Cap,"WHAT YOU GET
Relax in our classic, adjustable canvas baseball cap with embroidered GLO logo. For him or her.
WHAT'S INCLUDED:

1 Classic GLO Baseball Cap (choose your color - blue or black)
", ,1, , ,https://gloscience.com/products/glo-cap?variant=21224424505422, ,
gloscience,25810190,gloscience,25810190,GLO Double Mirror Compact Case,"A small mirror compact to take with you on the go, so you can easily apply your GLO to Go Teeth Whitening Gel anytime, anywhere! 
", ,1, , ,https://gloscience.com/products/glo-double-mirror-compact-case?variant=39300788453454, ,
gloscience,6581042PCH,gloscience,6581042PCH,GLO Drawstring Travel Bag,"Yes, this drawstring travel bag is made of washable paper! As the name suggests, the washable paper is made with tree cellulose from responsibly managed forests and is bonded to create an improvement on traditional paper. Washable, reusable, super strong, 100% animal free and guilt free! The bag is large enough to fit and GLO device and accessories. GLO Science is eliminating excess plastic and single use bags, one ethical bag at a time.", ,1, , ,https://gloscience.com/products/reusable-glo-bag?variant=39727539093582, ,
gloscience,6581042,gloscience,6581042,GLO Brilliant® Advanced White Smile - At Home Teeth Whitening Device Kit,"
An all-in-one, dentist-invented teeth whitening device kit featuring an advanced warming mouthpiece plus specially formulated, high performance whitening gel to quickly and safely whiten teeth at home - without sensitivity!  
8X faster continuous warming makes the GLO Brilliant Advanced White Smile Teeth Whitening Device the most effective teeth whitening technology available outside of a dental practice. 
Clinically proven to remove stains and whiten teeth up to 12 shades.  
Often imitated. Never replicated. Only from GLO Science.  
", ,1, , ,https://gloscience.com/products/brilliant-white-smile-teeth-whitening-device-set?variant=39718426902606, ,
gloscience,1581042,gloscience,1581042,Classic GLO Brilliant Teeth Whitening Device," 
The Classic GLO Brilliant Teeth Whitening Device combines light and heat to activate specially formulated hydrogen peroxide gel to visibly whiten and brighten your smile without sensitivity.
 ", ,1, , ,https://gloscience.com/products/glo-brilliant-personal-teeth-whitening-device?variant=3682770051, ,
gloscience,3581042,gloscience,3581042,GLO Lit Teeth Whitening Device Tech Kit with Bluetooth,"
Forget about gimmicky lights, uncomfortable trays, runny gels, and messy strips—those are yesterday’s way to whiten! GLO Lit connects wirelessly via Bluetooth to the GLO Whitening App which you can download for free on the App Store and Google Play.
 ", ,1, , ,https://gloscience.com/products/glo-lit-teeth-whitening-tech-kit?variant=31928280318030, ,
gloscience,28103305,gloscience,28103305,GLO To Go Teeth Whitening Pen,"An anytime and anywhere teeth whitening and brightening system developed by a dentist for proven whitening results, not just touch-ups.
This safe, effective, sensitivity free, lightweight gel is enhanced with plant-based antimicrobials and antioxidants plus a hygienic silicone applicator tip to promote oral health and hygiene while giving you a brighter, whiter smile.", ,1, , ,https://gloscience.com/products/glo-to-go-teeth-whitening-pen?variant=40028259876942, ,
gloscience,558105203CM,gloscience,558105203CM,Cinnamint Teeth Whitening GLO Vials,"
High performance, sensitivity free, stay-fresh whitening gel treatments that can used alone or can be paired with your GLO Teeth Whitening Device for even faster results.
Clinically proven to remove stains and whiten teeth, minty fresh GLO Vial whitening gel takes seconds to apply and starts working instantly – with no strips, no trays, and no mess.
Compatible with all GLO devices.
Vials can be used alone or paired with device.", ,1, , ,https://gloscience.com/products/cinnamint-teeth-whitening-glo-vials-2?variant=40069181997134, ,
gloscience,A308167,gloscience,A308167,Mint Teeth Whitening GLO Vials,"
High performance, sensitivity free, stay-fresh whitening gel treatments that can used alone or can be paired with your GLO Teeth Whitening Device for even faster results.
Clinically proven to remove stains and whiten teeth, minty fresh GLO Vial whitening gel takes seconds to apply and starts working instantly – with no strips, no trays, and no mess.
Compatible with all GLO devices.", ,1, , ,https://gloscience.com/products/mint-glo-vials?variant=39671128195150, ,
gloscience,15810332034S,gloscience,15810332034S,ECO Balance Deep Clean & Gum Restoration Booster,"Boost your brushing to achieve a whole-mouth clean feeling &amp; enhance gum condition.
The award-winning ECO Booster is the easiest way to enhance your oral hygiene routine and give you that 'just left the dentist' clean feeling from home. This antibiotic-free and alcohol-free formula neutralizes pH balance in the mouth, leaving you with a long-lasting fresh feeling. 
", ,1, , ,https://gloscience.com/products/eco-balance-gum-health-treatment?variant=40028255912014, ,
gloscience,158103319,gloscience,158103319,GLO Science Lip Care,"An ultra-hydrating formula rich in vitamins and antioxidants that moisturizes, nourishes, repairs, and protects dry lips.", ,1, , ,https://gloscience.com/products/glo-science-lip-care?variant=40028258435150, ,
gloscience,1581012074,gloscience,1581012074,GLO Toothbrush,"Keep your teeth clean and healthy before whitening and any time with this blue soft-bristled GLO toothbrush.
For best teeth whitening results, brush your teeth immediately before whitening. 
Includes 1 individually wrapped soft-bristled toothbrush.", ,1, , ,https://gloscience.com/products/glo-toothbrush?variant=40028263219278, ,
gloscience,658106201,gloscience,658106201,GLO Brilliant Advanced White Smile At Home Teeth Whitening Mouthpiece  with Illuminating Heat Technology,"
Smiles are best when they are shared - so we made GLO shareable too! Get an additional mouthpiece for each member of your household to use with your GLO Brilliant Advanced White Smile Teeth Whitening Device Set.
To get your whitest smile in the least amount of time, you need warming heat acceleration – and you can only get it from GLO Science!
Now with 8X faster, continuous warming to the perfect safe &amp; comfortable temperature for the fastest results and no sensitivity, the GLO Brilliant Advanced White Smile Whitening Warming Mouthpiece works with your GLO Brilliant Advanced Teeth Whitening Control to make your smile GLO!
One size fits all and lets you whiten your top and bottom teeth at the same time in short, pre-timed 8-minute sessions.
Get ready to GLO! *Must be plugged into the GLO Brilliant Advanced White Smile Control available in the complete GLO Brilliant Advanced White Smile Teeth Whitening Device Set. Cannot be used with the Classic GLO Brilliant Control or the GLO Lit Powerpack (additional mouthpiece for those devices can be found here).", ,1, , ,https://gloscience.com/products/glo-brilliant-advanced-white-smile-at-home-teeth-whitening-mouthpiece-with-illuminating-heat-technology?variant=40098926166094, ,
gloscience,158106201,gloscience,158106201,Extra GLO Whitening Mouthpiece & Case (not compatible with GLO Brilliant Advanced White Smile Device),"Now you can share your GLO with an extra whitening mouthpiece! This mouthpiece works with the Original GLO Brilliant Device and the GLO Lit Device only. 
Compatible with Classic GLO Brilliant and GLO Lit Teeth Whitening Devices
Not compatible with the GLO Brilliant Advanced White Smile Device
", ,1, , ,https://gloscience.com/products/glo-brilliant-whitening-mouthpiece-case?variant=712803395, ,
gloscience,1581033041,gloscience,1581033041,Classic GLO Brilliant Replacement Control,"
[SECTION]
Replacement GLO Control for use with the GLO Brilliant Teeth Whitening Device 
[SECTION] 

[SECTION]

1 replacement GLO Control (does not include GLO Universal Power Cord &amp; Adapter or Whitening Mouthpiece which must be purchased separately or as part of the GLO Brilliant Teeth Whitening Device) 

[SECTION]
[SECTION]
Replacement GLO Control for use with the GLO Brilliant Classic Teeth Whitening Device only. Not compatible with the GLO Brilliant Advanced Teeth Whitening Device.
[SECTION]

", ,1, , ,https://gloscience.com/products/glo-control-replacement?variant=905538867, ,
gloscience,158103000,gloscience,158103000,GLO Brilliant Control Charging Dock,"[SECTION]
*Please note that the dock does not include the USB power cord and adapter, which must be purchased separately.
Convenient charging dock for use with the GLO Brilliant Teeth Whitening Device. Use the custom GLO dock to store and charge your GLO Control so you are always ready to GLO!
Make your smile a priority and keep GLO top of mind by keeping the dock on your bathroom counter or vanity. Your GLO Control will always be charged and ready for use.
[SECTION]
Attach your charging cord to the dock and plug in. Insert your GLO Brilliant Control into the charging dock.
 
[SECTION]
[SECTION]
1 charging dock (charging cord/adapter and GLO Control not included)
[SECTION]
A convenient and stylish charging dock for your GLO Brilliant Control.
[SECTION]
--
", ,1, , ,https://gloscience.com/products/glo-brilliant-control-charging-dock?variant=34644961934, ,
gloscience,1581033001,gloscience,1581033001,Extra GLO Brilliant Universal Power Cord & Adapter,"
 WHAT YOU GET
A replacement GLO Universal Power Cord &amp; Adapter for use with the GLO Brilliant Teeth Whitening Device. Features wall charger + USB charger, for use in any country. 
WHAT'S INCLUDED:

1 GLO Universal Power Cord &amp; USB Adapter

 
", ,1, , ,https://gloscience.com/products/glo-power-set-replacement?variant=905543811, ,
gloscience,258121VGLP,gloscience,258121VGLP,GLO Vegan Leather Travel Bag,"Our custom travel bag is made of vegan leather and is the perfect way to take your device with you on the go! Store a your GLO Brilliant, Vials, a GLO to GO Pen, and any other necessities easily in this small cosmetic pouch.", ,1, , ,https://gloscience.com/products/vegan-leather-glo-bag?variant=39666396627022, ,
gloscience,25810190,gloscience,25810190,GLO Double Mirror Compact Case,"A small mirror compact to take with you on the go, so you can easily apply your GLO to Go Teeth Whitening Gel anytime, anywhere! 
", ,1, , ,https://gloscience.com/products/glo-double-mirror-compact-case?variant=39300788453454, ,
gloscience,8838228,gloscience,8838228,Classic GLO Baseball Cap,"WHAT YOU GET
Relax in our classic, adjustable canvas baseball cap with embroidered GLO logo. For him or her.
WHAT'S INCLUDED:

1 Classic GLO Baseball Cap (choose your color - blue or black)
", ,1, , ,https://gloscience.com/products/glo-cap?variant=21224424505422, ,
